artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
Feder feat. Lyse,Goodbye,10,57,8,2015,2015,4
Lena Meyer-Landrut (Unser Star für Oslo 2010),Wild & Free,10,58,8,2015,2015,3
Nicky Jam & Enrique Iglesias,El Perdon,9,59,8,2015,2015,3
David Guetta feat. Nicki Minaj & Afrojack,Hey Mama,8,60,9,2014,2015,3
EFF (Mark Forster & Felix Jaehn),Stimme,8,61,7,2015,2015,2
Major Lazer feat. Nyla & Fuse ODG,Light It Up (Remix),8,62,8,2015,2015,2
Böhse Onkelz,Wir bleiben,8,63,4,2015,2015,1
Years & Years,King,7,64,9,2015,2015,3
Frei.Wild,Unvergessen Unvergänglich Lebenslänglich,6,65,6,2015,2015,1
Ado Kojo feat. Shirin David,Du liebst mich nicht,6,66,6,2015,2015,1
Taylor Swift,Blank Space,5,67,9,2014,2015,2
Tobee,Jetzt ist der Teufel los,5,68,7,2015,2015,1
Walk The Moon,Shut Up + Dance,4,69,10,2015,2015,2
Meghan Trainor,All About That Bass,4,70,10,2014,2015,2
Meghan Trainor,Lips Are Movin,4,71,10,2015,2015,2
Frei.Wild,Wir brechen eure Seelen,4,72,8,2015,2015,1
Helene Fischer,Atemlos durch die Nacht,4,73,8,2013,2015,1
Ellie Goulding,On My Mind,3,74,9,2015,2015,1
Klingande feat. Broken Back,Riva (Restart The Game),3,75,9,2015,2015,1
Hoodie Allen feat. Ed Sheeran,All About It,3,76,9,2015,2015,1
POL1Z1STENS0HN a.k.a. Jan Böhmermann,Ich hab Polizei,2,77,10,2015,2015,1
One Direction (UK X-Factor 7),Drag Me Down,2,78,10,2015,2015,1
The Weeknd,The Hills,2,79,10,2015,2015,1
Severino (DsdS 12),Hero Of My Heart,2,80,10,2015,2015,1
Band Aid 30 Deutschland,Do They Know It's Christmas? (Deutsche Version),2,81,10,2014,2015,1
Rag'n'Bone Man,Human,251,1,1,2016,2016,16
Alan Walker,Faded,246,2,1,2016,2016,18
Imany feat. Filatov & Karas,Don't Be So Shy,233,3,1,2016,2016,16
Kungs vs. Cookin' On 3 Burners,This Girl,207,4,1,2016,2016,18
Stereoact feat. Kerstin Ott,Die immer Lacht,173,5,2,2016,2016,17
Sia feat. Sean Paul,Cheap Thrills,167,6,1,2016,2016,18
Drake feat. Wizkid & Kyla,One Dance,143,7,1,2016,2016,16
DJ Snake feat. Justin Bieber,Let Me Love You,143,8,1,2016,2016,14
Justin Timberlake,Can't Stop The Feeling!,130,9,1,2016,2016,14
Major Lazer feat. Justin Bieber & M0,Cold Water,116,10,2,2016,2016,11
Twenty One Pilots,Stressed Out,113,11,3,2016,2016,12
Disturbed,The Sound Of Silence,108,12,2,2016,2016,18
Justin Bieber,Love Yourself,106,13,3,2015,2016,16
The Chainsmokers feat. Halsey,Closer,105,14,2,2016,2016,13
Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye,105,15,1,2016,2016,7
David Guetta & Cedric Gervais & Chris Willis,Would I Lie To You,101,16,2,2016,2016,10
Jonas Blue feat. Dakota,Fast Car,97,17,2,2016,2016,12
EFF (Mark Forster & Felix Jaehn),Stimme,96,18,1,2015,2016,11
Shawn Mendes,Stitches,86,19,2,2015,2016,12
Felix Jaehn feat. Alma,Bonfire,84,20,3,2016,2016,9
The Weeknd feat. Daft Punk,Starboy,77,21,3,2016,2016,11
David Guetta feat. Zara Larsson,This One's For You,73,22,1,2016,2016,6
Sia feat. Kendrick Lamar,The Greatest,69,23,3,2016,2016,9
Adele,Hello,65,24,1,2015,2016,6
Mike Posner,I Took A Pill In Ibiza,63,25,5,2016,2016,12
Matt Simons,Catch & Release,63,26,1,2015,2016,6
Mark Forster,Chöre,60,27,2,2016,2016,6
Alle Farben feat. YouNotUs,Please Tell Rosie,55,28,3,2016,2016,9
Lukas Graham,7 Years,54,29,6,2015,2016,13
The Chainsmokers feat. Daya,Don't Let Me Down,53,30,6,2016,2016,15
Calvin Harris,My Way,49,31,5,2016,2016,9
Major Lazer feat. Nyla & Fuse ODG,Light It Up (Remix),41,32,4,2015,2016,7
James Arthur (UK X-Factor 9),Say You Won't Let Go,39,33,6,2016,2016,8
Mark Forster,Wir sind Gross,39,34,3,2016,2016,6
G-Eazy x Bebe Rexha,"Me, Myself & I",38,35,7,2016,2016,10
Rihanna feat. Calvin Harris,This Is What You Came For,37,36,5,2016,2016,7
Glasperlenspiel,Geiles Leben,37,37,3,2015,2016,5
Max Giesinger (The Voice of Germany 1),80 Millionen,37,38,2,2016,2016,4
Jennifer Lopez,Ain't Your Mama,36,39,5,2016,2016,7
Robin Schulz & J.U.D.G.E.,Show Me Love,34,40,2,2015,2016,5
Mike Perry feat. Shy Martin,The Ocean,33,41,5,2016,2016,6
Shawn Mendes,Treat You Better,32,42,4,2016,2016,6
Rihanna feat. Drake,Work,26,43,5,2016,2016,6
257ers,Holz,25,44,7,2016,2016,6
Fifth Harmony feat. Ty Dolla $ign,Work From Home,24,45,7,2016,2016,5
Prince Damien (DsdS 13),Glücksmoment,24,46,1,2016,2016,2
Justin Bieber,Sorry,20,47,6,2015,2016,5
DNCE,Cake By The Ocean,18,48,6,2016,2016,4
Twenty One Pilots,Heathens,17,49,9,2016,2016,7
Bonez MC & RAF Camora & Maxwell,Ohne mein Team,16,50,7,2016,2016,5
Zara Larsson,Lush Life,13,51,5,2015,2016,3
Lil' Wayne & Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla $ign & X Ambassadors,Sucker For Pain,12,52,8,2016,2016,3
Jonas Blue feat. JP Cooper,Perfect Strangers,9,53,9,2016,2016,3
Pentatonix,Hallelujah,7,54,5,2016,2016,1
Zayn,Pillowtalk,7,55,5,2016,2016,1
Rae Sremmurd feat. Gucci Mane,Black Beatles,6,56,8,2016,2016,2
Max Giesinger (The Voice of Germany 1),Wenn sie tanzt,5,57,9,2016,2016,2
Bonez MC & RAF Camora,Palmen aus Gold,5,58,7,2016,2016,1
Alan Walker,Sing Me To Sleep,4,59,10,2016,2016,2
Era Istrefi,Bonbon,4,60,10,2016,2016,2
Bonez MC & RAF Camora,An ihnen vorbei,4,61,8,2016,2016,1
Beginner feat. Gzuz & Gentleman,Ahnma,4,62,8,2016,2016,1
Alle Farben,Bad Ideas,3,63,9,2016,2016,1
Philipp Poisel,Erkläre mir die Liebe,3,64,9,2016,2016,1
Bonez MC & RAF Camora,Palmen aus Plastik,2,65,10,2016,2016,1
Galantis,No Money,2,66,10,2016,2016,1
Elle King,Ex's & Oh's,2,67,10,2015,2016,1
X Ambassadors,Renegades,2,68,10,2015,2016,1
Mariah Carey,All I Want For Christmas Is You,2,69,10,1994,2016,1
Luis Fonsi feat. Daddy Yankee,Despacito,386,1,1,2017,2017,26
Ed Sheeran,Shape Of You,368,2,1,2017,2017,25
Bausa,Was du Liebe nennst,189,3,1,2017,2017,11
Axwell /\ Ingrosso,More Than You Know,182,4,1,2017,2017,18
Imagine Dragons,Thunder,163,5,2,2017,2017,17
Robin Schulz feat. James Blunt,OK,161,6,2,2017,2017,16
Post Malone feat. 21 Savage,Rockstar,140,7,2,2017,2017,13
Burak Yeter feat. Danelle Sandoval,Tuesday,138,8,2,2017,2017,15
Camila Cabello feat. Young Thug,Havana,130,9,2,2017,2017,12
Ed Sheeran,Perfect,121,10,1,2017,2017,11
Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye,108,11,1,2016,2017,9
Kay One feat. Pietro Lombardi (DsdS 8),Senorita,105,12,1,2017,2017,10
Kygo & Selena Gomez,It Ain't Me,104,13,2,2017,2017,12
Ed Sheeran,Castle On The Hill,104,14,2,2017,2017,11
J. Balvin & Willy William,Mi gente,98,15,3,2017,2017,13
Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),88,16,2,2016,2017,10
The Chainsmokers & Coldplay,Something Just Like This,86,17,4,2017,2017,13
Zayn feat. Sia,Dusk Till Dawn,84,18,3,2017,2017,12
Alice Merton,No Roots,83,19,2,2017,2017,7
French Montana feat. Swae Lee,Unforgettable,67,20,6,2017,2017,16
Jason DeRülo feat. Nicki Minaj & Ty Dolla $ign,Swalla,66,21,4,2017,2017,11
Jonas Blue feat. William Singe,Mama,61,22,5,2017,2017,12
Pink,What About Us,57,23,3,2017,2017,10
The Chainsmokers,Paris,57,24,3,2017,2017,9
Ed Sheeran,Galway Girl,55,25,5,2017,2017,12
DJ Khaled feat. Rihanna & Bryson Tiller,Wild Thoughts,55,26,4,2017,2017,9
Jax Jones feat. Raye,You Don't Know Me,54,27,3,2017,2017,8
Alan Walker,Alone,52,28,4,2016,2017,8
Mark Forster,Chöre,45,29,2,2016,2017,5
DJ Khaled feat. Justin Bieber & Quavo & Chance The Rapper & Lil' Wayne,I'm The One,44,30,4,2017,2017,7
David Guetta feat. Justin Bieber,2U,42,31,3,2017,2017,7
Shawn Mendes,There's Nothing Holdin' Me Back,38,32,5,2017,2017,8
Justin Bieber & Bloodpop,Friends,37,33,4,2017,2017,5
Marshmello feat. Khalid,Silence,33,34,6,2017,2017,7
Taylor Swift,Look What You Made Me Do,33,35,3,2017,2017,4
Rag'n'Bone Man,Human,33,36,2,2016,2017,3
187 Strassenbande feat. Bonez MC & Gzuz,Millionär,28,37,2,2017,2017,4
Katy Perry feat. Skip Marley,Chained To The Rhythm,26,38,6,2017,2017,6
Starley,Call On Me,23,39,7,2016,2017,6
Kaleo,Way Down We Go,22,40,6,2017,2017,4
Mariah Carey,All I Want For Christmas Is You,22,41,5,1994,2017,4
Kollegah & Farid Bang,Sturmmaske auf (Intro),20,42,1,2017,2017,2
The Weeknd feat. Daft Punk,Starboy,19,43,5,2016,2017,4
Maitre Gims feat. Dany Synthe,Loin,16,44,6,2017,2017,4
Robin Schulz & David Guetta & Cheat Codes,Shed A Light,16,45,6,2016,2017,3
RAF Camora,Primo,15,46,6,2017,2017,3
Die Toten Hosen,Unter den Wolken,15,47,2,2017,2017,1
Lauv,I Like Me Better,13,48,7,2017,2017,4
Zuna feat. Azet & Noizy,Nummer 1,12,49,7,2017,2017,4
Kollegah & Farid Bang,Zieh' den Rucksack aus,12,50,4,2017,2017,2
Eminem feat. Ed Sheeran,River,12,51,3,2017,2017,1
Dua Lipa,New Rules,11,52,9,2017,2017,5
Portugal. The Man,Feel It Still,11,53,7,2017,2017,3
Sage The Gemini,Now & Later,11,54,6,2016,2017,3
Helene Fischer,Herzbeben,10,55,6,2017,2017,2
Miami Yacine,Bon Voyage,9,56,5,2017,2017,2
Calvin Harris feat. Pharrell Williams & Katy Perry & Big Sean,Feels,8,57,9,2017,2017,3
Kay One,Louis Louis,8,58,9,2017,2017,3
Charlie Puth,Attention,8,59,9,2017,2017,3
RAF Camora,Sag nix,8,60,6,2017,2017,2
Imagine Dragons,Whatever It Takes,8,61,7,2017,2017,2
Linkin Park,In The End,8,62,4,2001,2017,1
Pentatonix,Hallelujah,8,63,4,2016,2017,1
Clean Bandit feat. Zara Larsson,Symphony,7,64,9,2017,2017,3
Alle Farben,Bad Ideas,7,65,7,2016,2017,2
Wham!,Last Christmas,7,66,7,1985,2017,2
Kollegah & Farid Bang,Ave Maria,7,67,5,2017,2017,1
Kollegah & Farid Bang,Gamechanger,6,68,6,2017,2017,1
NF,Let You Down,5,69,9,2017,2017,2
Martin Garrix & Dua Lipa,Scared To Be Lonely,5,70,9,2017,2017,2
Kollegah & Farid Bang,Rap wieder Rap,5,71,7,2017,2017,1
Katja Krasavice,Doggy,5,72,7,2017,2017,1
James Arthur (UK X-Factor 9),Say You Won't Let Go,4,73,10,2016,2017,2
Sean Paul feat. Dua Lipa,No Lie,4,74,10,2016,2017,2
Azet,Gjynah,4,75,8,2017,2017,1
Kollegah & Farid Bang,Es wird Zeit,4,76,8,2017,2017,1
Azzi Memo & Eno,AMG2,4,77,8,2017,2017,1
Nico Santos,Rooftop,4,78,8,2017,2017,1
David Guetta & Cedric Gervais & Chris Willis,Would I Lie To You,4,79,8,2016,2017,1
Sia,Never Give Up,4,80,8,2016,2017,1
RAF Camora,Gotham City,3,81,9,2017,2017,1
Capo feat. Nimo,Mon Cheri,3,82,9,2017,2017,1
Bonez MC & RAF Camora & Maxwell,Ohne mein Team,3,83,9,2016,2017,1
Bibi H.,How It Is (Wap Bap...),3,84,9,2017,2017,1
Disturbed,The Sound Of Silence,3,85,9,2016,2017,1
Vice feat. Jasmine Thompson & Skizzy Mars,Steady 1234,3,86,9,2017,2017,1
Helene Fischer,Achterbahn,2,87,10,2017,2017,1
Nimo,Heute mit mir,2,88,10,2017,2017,1
Liam Payne feat. Quavo,Strip That Down,2,89,10,2017,2017,1
Jim Pandzko feat. Jan Böhmermann,Menschen Leben Tanzen Welt,2,90,10,2017,2017,1
Rag'n'Bone Man,Skin,2,91,10,2017,2017,1
Dynoro & Gigi D'Agostino,In My Mind,302,1,1,2018,2018,23
Calvin Harris & Dua Lipa,One Kiss,159,2,1,2018,2018,15
Marshmello & Anne-Marie,Friends,156,3,1,2018,2018,13
Ed Sheeran,Perfect,152,4,1,2017,2018,11
Bausa,Was du Liebe nennst,151,5,1,2017,2018,13
Bonez MC & RAF Camora,500 PS,145,6,1,2018,2018,14
Olexesh feat. Edin,Magisch,135,7,1,2018,2018,11
Namika feat. Black M.,Je ne parle pas francais (Beatgees Remix),132,8,1,2018,2018,15
Clean Bandit feat. Demi Lovato,Solo,125,9,1,2018,2018,15
El Profesor,Bella ciao (Hugel Remix),124,10,2,2018,2018,14
Eminem feat. Ed Sheeran,River,107,11,2,2017,2018,12
Drake,God's Plan,96,12,1,2018,2018,12
Ava Max,Sweet But Psycho,95,13,1,2018,2018,6
KitschKrieg feat. Trettmann & Gringo & Ufo361 & Gzuz,Standard,91,14,1,2018,2018,9
Capital Bra feat. Ufo361,Neymar,86,15,1,2018,2018,8
Dennis Lloyd,Nevermind,85,16,3,2018,2018,15
Rudimental feat. Jess Glynne & Macklemore & Dan Caplen,These Days,84,17,3,2018,2018,10
Capital Bra feat. Juju,Melodien,84,18,1,2018,2018,7
Sido,Tausend Tattoos,78,19,2,2018,2018,6
Bonez MC & RAF Camora & Gzuz,Kokain,68,20,1,2018,2018,6
Calvin Harris & Sam Smith,Promises,66,21,2,2018,2018,9
Camila Cabello feat. Young Thug,Havana,64,22,3,2017,2018,8
Summer Cem & Bausa,Casanova,54,23,4,2018,2018,10
Liam Payne feat. Rita Ora,For You (Fifty Shades Freed),54,24,1,2018,2018,5
Capital Bra,One Night Stand,53,25,1,2018,2018,7
Mero,Baller los,53,26,1,2018,2018,4
Pietro Lombardi (DsdS 8),Phänomenal,49,27,1,2018,2018,5
Panic! At The Disco,High Hopes,48,28,6,2018,2018,10
Nico Santos,Rooftop,48,29,5,2017,2018,8
Luis Fonsi & Demi Lovato,Echame la culpa,45,30,6,2017,2018,11
Capital Bra,5 Songs in einer Nacht,44,31,1,2018,2018,5
Samra,Cataleya,44,32,1,2018,2018,4
The Chainsmokers,Sick Boy,43,33,5,2018,2018,8
RIN,Dior 2001,42,34,4,2018,2018,7
Ramz,Barking,42,35,4,2018,2018,7
Mariah Carey,All I Want For Christmas Is You,42,36,2,1994,2018,4
Capital Bra,Allein,34,37,2,2018,2018,3
Loredana & Mozzik,Bonnie & Clyde,32,38,3,2018,2018,4
Capital Bra,Berlin lebt,30,39,1,2018,2018,3
Post Malone feat. 21 Savage,Rockstar,29,40,7,2017,2018,7
Drake,In My Feelings,29,41,4,2018,2018,5
David Guetta feat. Sia,Flames,28,42,7,2018,2018,7
Bonez MC & RAF Camora,Risiko,28,43,2,2018,2018,4
Capital Bra feat. Xatar & Samy,Ich liebe es,28,44,3,2018,2018,4
Bushido feat. Samra & Capital Bra,Für euch alle,28,45,1,2018,2018,3
Loud Luxury feat. Brando,Body,27,46,7,2018,2018,7
G-Eazy & Halsey,Him & I,24,47,6,2017,2018,5
Luciano,Meer,24,48,3,2018,2018,4
Wham!,Last Christmas,24,49,4,1985,2018,4
Justin Bieber & Bloodpop,Friends,23,50,4,2017,2018,4
Capital Bra feat. Luciano & Eno,Roli Glitzer Glitzer,23,51,1,2018,2018,3
Summer Cem,Tamam Tamam,21,52,7,2018,2018,5
Tom Walker,Leave A Light On,20,53,8,2018,2018,6
Die Fantastischen Vier feat. Clueso,Zusammen,19,54,2,2018,2018,2
Bonez MC & RAF Camora,Nummer unterdrückt,18,55,3,2018,2018,2
Jonas Blue feat. Jack & Jack,Rise,16,56,8,2018,2018,5
Veysel feat. Gzuz,UFF,16,57,3,2018,2018,2
DJ Snake feat. Selena Gomez & Ozuna & Cardi B.,Taki Taki,15,58,8,2018,2018,4
Ariana Grande,No Tears Left To Cry,15,59,2,2018,2018,1
Dean Lewis,Be Alright,14,60,8,2018,2018,5
Dardan,Facetime,14,61,7,2018,2018,4
Martin Garrix & David Guetta & Jamie Scott & Romy Dya,So Far Away,12,62,8,2017,2018,5
Capital Bra,Feuer,12,63,4,2018,2018,2
Capital Bra feat. Samra & AK Ausserkontrolle,Fightclub,12,64,3,2018,2018,1
Bushido feat. Capital Bra,Inshallah,12,65,3,2018,2018,1
Marie Wegener (DsdS 15),Königlich,12,66,3,2018,2018,1
Bonez MC & Gzuz,Was erlebt,12,67,3,2018,2018,1
Michael Schulte (The Voice of Germany 1),You Let Me Walk Alone,12,68,3,2018,2018,1
Ofenbach vs. Nick Waterhouse,Katchi,11,69,9,2017,2018,4
Gzuz & Bonez MC & Maxwell & Ufo361,Über Nacht,10,70,6,2018,2018,2
RAF Camora feat. Kontra K,Fame,9,71,6,2018,2018,2
Alvaro Soler,La cintura,9,72,7,2018,2018,2
Luciano feat. Nimo,Valentino Camouflage,9,73,6,2018,2018,2
Capital Bra feat. King Khalil,Kennzeichen B-TK,8,74,4,2018,2018,1
Gzuz,Warum?,8,75,4,2018,2018,1
Katja Krasavice,Dicke Lippen,8,76,4,2018,2018,1
Ufo361,Beverly Hills,8,77,4,2018,2018,1
Kanye West & Lil Pump,I Love It,7,78,9,2018,2018,3
Bonez MC & RAF Camora,Ja Mann!,7,79,5,2018,2018,1
Farid Bang & Capo & 6ix9ine & SCH,International Gangstas,7,80,5,2018,2018,1
Zuna feat. Azet & Noizy,Kriminell,7,81,5,2018,2018,1
Gzuz,Was hast du gedacht,7,82,5,2018,2018,1
Zuna feat. Azet,Skam koh,7,83,5,2018,2018,1
RAF Camora & AriBeatz & Sofiane,Perfekt,7,84,5,2018,2018,1
Veysel,Habibo,6,85,9,2018,2018,2
Katja Krasavice,Sex Tape,6,86,6,2018,2018,1
Gringo feat. 6ix9ine,Gigi (Zkittlez),6,87,6,2018,2018,1
Eno,Mercedes,6,88,6,2018,2018,1
Sun Diego,Eloah,6,89,6,2018,2018,1
Post Malone feat. Ty Dolla $ign,Psycho,6,90,6,2018,2018,1
Kontra K,Farben,6,91,6,2018,2018,1
Marshmello & Bastille,Happier,5,92,9,2018,2018,2
Maroon 5 feat. Cardi B.,Girls Like You,5,93,9,2018,2018,2
Justin Timberlake feat. Chris Stapleton,Say Something,5,94,9,2018,2018,2
Bonez MC & RAF Camora & Hanybal,Kompanie,5,95,7,2018,2018,1
Luciano,MoneyGram,5,96,7,2018,2018,1
Bushido,Mephisto,5,97,7,2018,2018,1
The Weeknd,Call Out My Name,5,98,7,2018,2018,1
Capital Bra feat. Ufo361,Power,5,99,7,2018,2018,1
Bonez MC & RAF Camora,Prominent,4,100,8,2018,2018,1
Tones And I,Dance Monkey,258,1,1,2019,2019,17
Apache 207,Roller,236,2,1,2019,2019,17
Lil Nas X,Old Town Road,216,3,1,2019,2019,19
Shawn Mendes & Camila Cabello,Senorita,186,4,1,2019,2019,13
Ava Max,Sweet But Psycho,138,5,1,2018,2019,13
Capital Bra feat. Samra & Lea,110,108,6,1,2019,2019,11
Juju feat. Henning May,Vermissen,106,7,1,2019,2019,10
Ed Sheeran & Justin Bieber,I Don't Care,103,8,2,2019,2019,13
Apache 207,Wieso tust Du dir das an?,85,9,1,2019,2019,7
Apache 207,200 km/h,80,10,4,2019,2019,12
Capital Bra,Benzema,79,11,1,2019,2019,7
Capital Bra feat. Samra,Tilidin,78,12,1,2019,2019,8
Capital Bra,Cherry Lady,78,13,1,2019,2019,7
Shirin David,Gib ihm,75,14,1,2019,2019,6
Rammstein,Deutschland,73,15,1,2019,2019,6
Billie Eilish,Bad Guy,72,16,4,2019,2019,17
Capital Bra,Prinzessa,69,17,1,2019,2019,7
Loredana & Mozzik,Eiskalt,64,18,2,2019,2019,7
KC Rebell x Summer Cem & Capital Bra,DNA,60,19,1,2019,2019,4
Capital Bra feat. Samra,Wieder Lila,58,20,1,2019,2019,7
Mero,Wolke 10,57,21,1,2019,2019,5
Mero,Hobby Hobby,51,22,1,2019,2019,6
KC Rebell x Summer Cem & Capital Bra,Rolex,44,23,2,2019,2019,5
Eno feat. Mero,Ferrari,41,24,1,2019,2019,4
Ariana Grande,7 Rings,40,25,4,2019,2019,7
Shindy,DODI,38,26,1,2019,2019,4
Meduza feat. Goodboys,Piece Of Your Heart,37,27,4,2019,2019,8
DJ Snake & J. Balvin & Tyga,Loco contigo,34,28,3,2019,2019,6
Capital Bra feat. Samra,Wir ticken,34,29,1,2019,2019,4
Mariah Carey,All I Want For Christmas Is You,33,30,2,1994,2019,4
Regard,Ride It,30,31,7,2019,2019,8
Loredana,Jetzt rufst du an,30,32,2,2019,2019,4
LX & Maxwell feat. Bonez MC & Gzuz & SA4,HaifischNikez Allstars,30,33,3,2019,2019,3
Nimo & Hava,Kein Schlaf,30,34,1,2019,2019,2
Capital Bra feat. Samra,Zombie,30,35,1,2019,2019,2
Sido feat. Apache 207,2002,29,36,6,2019,2019,6
Eno,Blackberry Sky,29,37,2,2019,2019,3
Samra,Harami,28,38,1,2019,2019,3
Capital Bra,Der Bratan bleibt der gleiche,28,39,1,2019,2019,3
Loredana feat. Mero,Kein Plan,28,40,1,2019,2019,3
Panic! At The Disco,High Hopes,27,41,5,2018,2019,6
Ed Sheeran feat. Khalid,Beautiful People,27,42,5,2019,2019,6
Sido,Tausend Tattoos,27,43,4,2018,2019,5
Nimo,Karma,26,44,4,2019,2019,4
Shindy,Affalterbach,26,45,3,2019,2019,3
Calvin Harris & Rag'n'Bone Man,Giant,25,46,6,2019,2019,6
RIN & Bausa,Keine Liebe,25,47,5,2019,2019,6
Shindy,Nautilus,25,48,2,2019,2019,3
Capital Bra feat. Samra,Nummer 1,25,49,1,2019,2019,3
RIN,Up In Smoke,24,50,2,2019,2019,3
Capital Bra,Capital Bra je m'appelle,23,51,3,2019,2019,3
Samra,Colt,23,52,2,2019,2019,2
Wham!,Last Christmas,22,53,3,1985,2019,4
Summer Cem feat. Capital Bra,Diamonds,22,54,3,2019,2019,3
Daddy Yankee feat. Snow,Con calma,21,55,6,2019,2019,5
Ufo361,Pass auf wen du liebst,21,56,3,2019,2019,3
Bausa & Joshi Mizu & Maxwell,Skifahren,21,57,4,2019,2019,3
Kalazh44 & Capital Bra & Samra & Nimo & Luciano,Royal Rumble,21,58,1,2019,2019,2
Loredana & Mozzik,Romeo & Juliet,21,59,2,2019,2019,2
RAF Camora feat. Ufo361,Nummer,20,60,2,2019,2019,2
Robin Schulz feat. Erika Sirola,Speechless,19,61,7,2018,2019,5
The Cratez & Bonez MC,Honda Civic,19,62,5,2019,2019,4
Ufo361 feat. RIN,Next,19,63,3,2019,2019,2
Capital Bra feat. Samra,Huracan,19,64,3,2019,2019,2
Shirin David feat. Maitre Gims,On Off,18,65,3,2019,2019,2
Mero,Baller los,17,66,6,2018,2019,4
Dardan,Coco Mama,17,67,4,2019,2019,3
Zuna feat. Azet,Hallo hallo,16,68,3,2019,2019,2
Lady Gaga & Bradley Cooper,Shallow,15,69,4,2018,2019,3
Loredana,Genick,15,70,3,2019,2019,2
Rammstein,Ausländer,15,71,2,2019,2019,1
RAF Camora feat. KC Rebell,Neptun,15,72,2,2019,2019,1
RAF Camora feat. Ghetto Phenomene,Puta madre,14,73,5,2019,2019,3
Zuna feat. Azet,Lelele,13,74,6,2019,2019,3
Farid Bang feat. French Montana & DJ Khaled,Maghreb Gang,13,75,4,2019,2019,2
Luciano,La haine,13,76,4,2019,2019,2
Capo,Run Run Run,12,77,6,2019,2019,3
KC Rebell,Alleen,12,78,4,2019,2019,2
Zuna feat. Azet,Fragen,12,79,4,2019,2019,2
RAF Camora,Vendetta,12,80,5,2019,2019,2
Pietro Lombardi (DsdS 8),Bella Donna,12,81,3,2019,2019,1
Luciano,Yeah,12,82,3,2019,2019,1
Pietro Lombardi (DsdS 8),Macarena,12,83,3,2019,2019,1
Summer Cem feat. Luciano,Summer Cem,11,84,6,2019,2019,3
Ufo361 feat. Data Luv,Shot,11,85,4,2019,2019,2
Dynoro & Gigi D'Agostino,In My Mind,11,86,5,2018,2019,2
Capital Bra feat. Samra,Berlin lebt wie nie zuvor,11,87,5,2019,2019,2
Avicii feat. Aloe Blacc,SOS,10,88,8,2019,2019,3
Apache 207,Doch in der Nacht,10,89,7,2019,2019,3
Kontra K,Letzte Träne,10,90,6,2019,2019,2
Fero47,Puerto Rico,10,91,7,2019,2019,2
Mero,Jay Jay,9,92,5,2019,2019,2
Sarah Connor,Vincent,8,93,9,2019,2019,3
RIN,Vintage,8,94,6,2019,2019,2
Kontra K feat. Veysel,Blei,8,95,6,2019,2019,2
Rammstein,Radio,8,96,4,2019,2019,1
Pietro Lombardi (DsdS 8),Nur ein Tanz,8,97,4,2019,2019,1
Farid Bang,#niemalsantäuschen,8,98,4,2019,2019,1
Shirin David,Brillis,8,99,4,2019,2019,1
Shindy,Raffaello,8,100,4,2019,2019,1
The Weeknd,Blinding Lights,333,1,1,2019,2020,25
24kGoldn feat. Iann Dior,Mood,207,2,1,2020,2020,14
Jawsh 685 & Jason DeRülo,Savage Love (Laxed - Siren Beat),170,3,1,2020,2020,18
Ufo361,Emotions,134,4,1,2020,2020,14
Tones And I,Dance Monkey,131,5,1,2019,2020,16
Apache 207,Bläulich,113,6,1,2020,2020,10
KitschKrieg feat. Jamule,Unterwegs,94,7,1,2020,2020,9
Pashanim,Airwaves,91,8,2,2020,2020,9
Mariah Carey,All I Want For Christmas Is You,90,9,1,1994,2020,5
Internet Money & Gunna & Don Toliver & NAV,Lemonade,88,10,2,2020,2020,11
Apache 207,Roller,86,11,3,2019,2020,14
Apache 207,Fame,82,12,1,2020,2020,8
Topic feat. A7S,Breaking Me,80,13,3,2020,2020,14
DaBaby feat. Roddy Ricch,Rockstar,79,14,3,2020,2020,12
SAINt JHN,Roses (Imanbek Remix),77,15,3,2019,2020,12
Bonez MC,Angeklagt,77,16,1,2020,2020,5
Wham!,Last Christmas,75,17,2,1985,2020,5
Joel Corry feat. MNEK,Head & Heart,71,18,4,2020,2020,12
Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),60,19,4,2020,2020,11
Lune,Gebe auf.,60,20,2,2020,2020,6
Joker Bra & Vize,Baby,59,21,1,2020,2020,6
Juju & Loredana,Kein Wort,55,22,1,2020,2020,5
Drake,Toosie Slide,48,23,2,2020,2020,6
Capital Bra & Cro,Frühstück in Paris,45,24,1,2020,2020,5
Vize & Joker Bra & Leony,Paradise,42,25,4,2020,2020,8
Capital Bra & Loredana,Nicht verdient,41,26,1,2020,2020,4
Chris Rea,Driving Home For Christmas,40,27,3,2002,2020,5
Melanie Thornton,Wonderful Dream (Holidays Are Coming),39,28,3,2001,2020,5
Apache 207,Unterwegs,39,29,1,2020,2020,4
Bonez MC,Fuckst mich nur ab,38,30,1,2020,2020,3
Apache 207,Boot,37,31,1,2020,2020,5
Shirin David,90-60-111,34,32,1,2020,2020,3
Loredana feat. Rymez,Angst,34,33,1,2020,2020,3
Loredana & Delara,Checka,31,34,2,2020,2020,4
